protein	pval	beta	se	pval_fdr	dummy_ref	dummy_alt	sample_size	OID3072	OID3072_UniProt	OID3072_Assay
O00175	0.1055183002160806	9.734453567931856	6.013859522500316	0.3140917922008156	A	G	300	OID20772	O00175	CCL24
O00182	0.0001409462052896	44.45253719307195	11.678054617740418	0.0017978334744581	A	G	300	OID20781	O00182	LGALS9
O00186	0.1441402996299541	5.449726630845404	3.731296162333664	0.3739199069441349	A	G	300	OID21240	O00186	STXBP3
O00194	0.9232256533053376	-0.3648470620628209	3.7858460931636206	0.9614053951176084	A	G	300	OID30354	O00194	RAB27B
O00203	0.0675218615610753	6.855847131722323	3.750084857009657	0.2390756307735644	A	G	300	OID31478	O00203	AP3B1
O00206	0.7404046508267845	3.825322472478522	11.5457895166641	0.869610770030172	A	G	300	OID30428	O00206	TLR4
O00214	0.1515188495423595	6.293334787434257	4.388084623113123	0.3889161331399228	A	G	300	OID21041	O00214	LGALS8
O00220	0.0005032106918497	41.00337144594951	11.78582425418109	0.0052611454068827	A	G	300	OID20967	O00220	TNFRSF10A
O00221	0.4085810852444463	3.0479914206380414	3.68830655614032	0.6525234281022567	A	G	300	OID21212	O00221	NFKBIE
O00233	0.0130084338861701	14.484769135864562	5.832311520906424	0.0758435835958141	A	G	300	OID21304	O00233	PSMD9
O00241	0.0607992971867112	17.76958548964096	9.477353774724248	0.2239530228025011	A	G	300	OID20739	O00241	SIRPB1
O00244	0.989787878202727	-0.0578597737083892	4.520525762024691	0.9955820909883488	A	G	300	OID21476	O00244	ATOX1
O00253	2.483390375778106e-21	55.59404724098891	5.862824744536917	1.813495821911962e-18	A	G	300	OID20658	O00253	AGRP
O00273	0.597534496579839	1.918009593426908	3.632942482983865	0.7855077698063501	A	G	300	OID20620	O00273	DFFA
O00291	0.3681660448924666	6.341231306996831	7.046486273269473	0.6219855506829931	A	G	300	OID30071	O00291	HIP1
O00292	1.2012985509886274e-05	31.44802859304522	7.18425849021645	0.0002235027431489	A	G	300	OID21454	O00292	LEFTY2
O00300	0.0010958435581081	35.75105119299118	10.95082932607636	0.0101617747086786	A	G	300	OID20735	O00300	TNFRSF11B
O00308	0.3447687527347973	4.398789133692768	4.655863564844768	0.6030356447534987	A	G	300	OID20926	O00308	WWP2
O00327	0.7307848486684227	2.452880970724061	7.128774958130047	0.8663417324572995	A	G	300	OID30168	O00327	ARNTL
O00337	0.619419221713178	3.2169312108139985	6.476951910961215	0.8000175165347686	A	G	300	OID31220	O00337	SLC28A1
O00339	0.0291890600289306	26.36970744248708	12.091072868094727	0.140002043258631	A	G	300	OID20767	O00339	MATN2
O00391	0.0059290496472691	41.664277134793785	15.141398360415774	0.0409426808975722	A	G	300	OID30729	O00391	QSOX1
O00399	0.4839815701760225	2.138046722139704	3.054731643805084	0.7144610357185902	A	G	300	OID20879	O00399	DCTN6
O00401	0.0957548758228958	-8.065325863232419	4.84173683647637	0.295945551680404	A	G	300	OID30467	O00401	WASL
O00422	0.3444991293143378	-4.238877191844517	4.484099360874098	0.6029250789258123	A	G	300	OID31323	O00422	SAP18
O00425	0.0001061243012038	25.3151031911875	6.5309994494441375	0.0014285211235774	A	G	300	OID30112	O00425	IGF2BP3
O00451	0.5341268694403651	-10.856770247617463	17.46251267411444	0.7508106764366249	A	G	300	OID21330	O00451	GFRA2
O00468	0.0001549130602903	42.76800662821197	11.305140527753046	0.0019420645884462	A	G	300	OID20786	O00468	AGRN
O00533	0.8896015547415677	1.9980743504487264	14.394477044234913	0.9487134506754724	A	G	300	OID20366	O00533	CHL1
O00534	0.0808282671195964	9.306281738211323	5.33036245656824	0.2685999638866224	A	G	300	OID31198	O00534	VWA5A
O00548	0.91179324733473	1.3424744474245995	12.118719670140868	0.9563188780842896	A	G	300	OID21525	O00548	DLL1
O00559	0.141704858593449	4.634285228140159	3.153708122624028	0.3709838718566182	A	G	300	OID20918	O00559	EBAG9
O00567	0.929368198790125	-0.3357495168819181	3.787797603377883	0.9646586582072236	A	G	300	OID30055	O00567	NOP56
O00584	0.1412672363360649	19.049352076098742	12.949156050826817	0.3709838718566182	A	G	300	OID20321	O00584	RNASET2
O00585	0.9428508075351764	0.5421122880016316	7.562186167308583	0.9708700436914764	A	G	300	OID20686	O00585	CCL21
O00592	0.7337936463329565	6.500058291266857	19.113124486863907	0.8682625247565535	A	G	300	OID21358	O00592	PODXL
O00602	0.0011753385436975	27.49591486432252	8.473844154169837	0.0106619996463987	A	G	300	OID30690	O00602	FCN1
O00622	5.203820732321403e-25	42.17843270692272	4.083450586295052	5.066786786370273e-22	A	G	300	OID21368	O00622	CCN1
O00626	0.0003303302938962	26.635909121120783	7.418906663998791	0.0038442023445051	A	G	300	OID20765	O00626	CCL22
O00748	3.4678540108762215e-05	25.52425937496616	6.164767822083118	0.0005565715146027	A	G	300	OID21366	O00748	CES2
O14503	0.7766456943517336	-1.033403344711565	3.642682441084812	0.892550171776019	A	G	300	OID30873	O14503	BHLHE40
O14523	0.0385726270077833	12.425618199280134	6.006436194602099	0.1654488156971145	A	G	300	OID20864	O14523	C2CD2L
O14530	0.0435539011012294	7.83992501446	3.8843067920946224	0.1787345374885345	A	G	300	OID31121	O14530	TXNDC9
O14558	0.7619904240049824	2.464425481283848	8.136961012871271	0.8827606517348161	A	G	300	OID21408	O14558	HSPB6
O14578	0.0176076064361679	14.646219854278808	6.170029844445809	0.0950680561923224	A	G	300	OID30970	O14578	CIT
O14579	0.3630636184980885	-3.974987895593911	4.370313763033022	0.6177118830682952	A	G	300	OID20797	O14579	COPE
O14594	0.1213979763953426	-12.975585469145951	8.377115519411642	0.3433629384071293	A	G	300	OID21055	O14594	NCAN
O14618	0.4187707059629095	4.186047487549617	5.17719069493939	0.6621633431954562	A	G	300	OID20973	O14618	CCS
O14625	0.9875642395180828	-0.078577004655171	5.041335468955646	0.994030028818856	A	G	300	OID21042	O14625	CXCL11
O14662	0.2147243316801907	3.685664099088711	2.9706829174416574	0.4788571900911305	A	G	300	OID21170	O14662	STX16
O14713	0.1410605210399742	6.685671786464284	4.542349563112947	0.3709838718566182	A	G	300	OID21268	O14713	ITGB1BP1
O14717	0.9880554159229136	0.0607044726466967	4.054837905834523	0.994181836000975	A	G	300	OID31335	O14717	TRDMT1
O14737	0.0212143478688714	9.926913808315682	4.308279953671132	0.1100659149644287	A	G	300	OID21021	O14737	PDCD5
O14745	0.135560502878626	5.201392256802364	3.484952065116806	0.3644949023693142	A	G	300	OID30630	O14745	SLC9A3R1
O14763	0.0166567532647263	20.26666699224632	8.464908421659548	0.0918007099740858	A	G	300	OID20981	O14763	TNFRSF10B
O14773	0.0014448332581321	29.90184041634943	9.386736730051457	0.0126737475886001	A	G	300	OID20750	O14773	TPP1
O14786	2.490140434712619e-07	-60.89272923561533	11.80448215730193	8.360574953788e-06	A	G	300	OID20390	O14786	NRP1
O14788	0.7596120951456293	-2.0481005757844875	6.693353146439369	0.881186231104203	A	G	300	OID20592	O14788	TNFSF11
O14791	0.045299066424628	9.557214647697748	4.774151291707638	0.1830132407003297	A	G	300	OID30708	O14791	APOL1
O14793	0.3640174865434497	-6.202332145719828	6.832745578147548	0.6181948129031491	A	G	300	OID20115	O14793	MSTN
O14798	0.8268477116063243	2.17208489013142	9.92970071617902	0.9187821504665454	A	G	300	OID20265	O14798	TNFRSF10C
O14828	0.2132321539938672	3.849941137065948	3.093000668050424	0.4773922184512403	A	G	300	OID21332	O14828	SCAMP3
O14836	0.1707639154729345	16.11290096471601	11.763359598526234	0.4176858470249721	A	G	300	OID20702	O14836	TNFRSF13B
O14841	0.5001971503643472	3.127594262154833	4.639111530044795	0.7250996904289122	A	G	300	OID30201	O14841	OPLAH
O14867	0.651109305943905	1.2946034736392689	2.8627630850201333	0.8190741958062646	A	G	300	OID20505	O14867	BACH1
O14879	0.5715803234654236	-3.0284858747316625	5.353276968996806	0.7746891847850844	A	G	300	OID31283	O14879	IFIT3
O14904	0.6477238545638677	-4.109654084159825	8.994124476111676	0.8155178358539041	A	G	300	OID20460	O14904	WNT9A
O14917	0.2834513917144113	7.399915718601219	6.899056038242769	0.5499415670085069	A	G	300	OID20132	O14917	PCDH17
O14933	0.5754451486026806	2.4403307615688283	4.357342343997392	0.775744241627819	A	G	300	OID30321	O14933	UBE2L6
O14944	0.0004044604866102	14.472450889575288	4.091549918584818	0.0044921257847467	A	G	300	OID20905	O14944	EREG
O14958	0.4540838022259357	5.544879709829927	7.406760896824708	0.6926259980689077	A	G	300	OID30063	O14958	CASQ2
O14960	0.0012567030950835	15.392515531694116	4.771855169670819	0.011294860740735	A	G	300	OID30320	O14960	LECT2
O14964	0.1932431923046895	3.759412848076546	2.889534206844452	0.4486990180620016	A	G	300	OID21175	O14964	HGS
O14967	0.3677734373230799	7.340282364101821	8.149966117141723	0.6219214810221871	A	G	300	OID30957	O14967	CLGN
O14974	0.0315387950714006	6.044000502613271	2.8108915736683526	0.1464623535827681	A	G	300	OID21475	O14974	PPP1R12A
O15013	0.8299471228260529	0.608056311667393	2.8312057164768456	0.9202732807501992	A	G	300	OID30994	O15013	ARHGEF10
O15018	0.0979455748818826	5.326421183418579	3.2185834345957764	0.3002088396956758	A	G	300	OID30151	O15018	PDZD2
O15020	0.4781751648700053	5.838703987237636	8.232331526195832	0.7100913353255137	A	G	300	OID30876	O15020	SPTBN2
O15031	7.558231253257698e-06	55.76493243306145	12.454952033771852	0.0001555564719108	A	G	300	OID20317	O15031	PLXNB2
O15078	0.3932635808600838	3.4609423894236824	4.053984311981692	0.6406708977648102	A	G	300	OID31287	O15078	CEP290
O15083	0.349211741430625	5.35122870971714	5.716395789648005	0.6071711289993189	A	G	300	OID30880	O15083	ERC2
O15116	0.3597713646957875	3.721971547478381	4.064171377796147	0.615276438100934	A	G	300	OID21210	O15116	LSM1
O15117	0.0653886679608134	5.306120190746858	2.87970504279217	0.2337824958550011	A	G	300	OID21140	O15117	FYB1
O15123	0.0100315701743956	25.222465135731262	9.796124342800496	0.0615592783180872	A	G	300	OID21463	O15123	ANGPT2
O15164	0.8299683307503033	0.758559549316987	3.532419812153996	0.9202732807501992	A	G	300	OID31271	O15164	TRIM24
O15169	0.1310319478191147	4.629415906939491	3.065747031134151	0.3560412275159386	A	G	300	OID20582	O15169	AXIN1
O15182	0.2245941287122106	4.822217073400624	3.9708562650890302	0.4884880491201542	A	G	300	OID31525	O15182	CETN3
O15197	0.4498164413423835	-9.984655185106616	13.21209030934371	0.6904434183715723	A	G	300	OID20982	O15197	EPHB6
O15211	2.886512588828537e-05	21.515177879648064	5.144415150336535	0.0004790626859072	A	G	300	OID31297	O15211	RGL2
O15212	0.8352644256370402	-1.159203472297206	5.574310637852857	0.9231641229888948	A	G	300	OID30938	O15212	PFDN6
O15213	0.3456297125840216	-2.474006161980686	2.6232700037819794	0.6035189681479163	A	G	300	OID31389	O15213	WDR46
O15232	0.0004930762983503	-34.6923431636178	9.95621895497123	0.0052238612621417	A	G	300	OID20979	O15232	MATN3
O15234	0.018334763938093	8.253311215636634	3.4989638119163247	0.0982676063544397	A	G	300	OID30921	O15234	CASC3
O15240	0.2529884104683773	-11.306875840133438	9.891233849086866	0.5171989579199036	A	G	300	OID31067	O15240	VGF
O15263	5.5347687596088695e-09	13.414507775949922	2.30084998116226	3.5173053381824305e-07	A	G	300	OID21373	O15263	DEFB4A_DEFB4B
O15264	0.3354737118987371	7.011299131089822	7.279572547144096	0.5949994490750854	A	G	300	OID31205	O15264	MAPK13
O15269	0.1453327092631703	8.440646488531211	5.796284420700579	0.3766786546208699	A	G	300	OID31086	O15269	SPTLC1
O15294	0.784151655640077	-1.714417117802833	6.25898931532672	0.8964802294030001	A	G	300	OID31300	O15294	OGT
O15305	0.8771530093965806	-0.4850475368258462	3.1378561935842217	0.9441919564793436	A	G	300	OID30125	O15305	PMM2
O15335	0.5523169070968783	-4.161651699283919	7.002706620811551	0.7635199648035881	A	G	300	OID30660	O15335	CHAD
O15350	0.5364749266244236	4.563534564622132	7.382540364576421	0.7518368141719244	A	G	300	OID30879	O15350	TP73
O15354	5.832579624050595e-12	32.32733066910055	4.696227953531045	8.518482540925894e-10	A	G	300	OID20095	O15354	GPR37
O15357	0.357132598348841	2.7281559548827667	2.9626734118108606	0.6118383107196272	A	G	300	OID21314	O15357	INPPL1
O15382	0.4522677290377536	-4.143637363747271	5.512796970264903	0.6915266794114431	A	G	300	OID30844	O15382	BCAT2
O15389	0.4828545538649541	2.4007862917244784	3.421294018402285	0.7143884822336629	A	G	300	OID21082	O15389	SIGLEC5
O15394	0.855923001688708	-2.72614622117565	15.01459456179261	0.9353352367873984	A	G	300	OID21095	O15394	NCAM2
O15400	0.4719526474933734	2.9348245599868497	4.0800802443517705	0.7059082055564159	A	G	300	OID30560	O15400	STX7
O15444	0.0017286060848971	27.63358327276232	8.819360452746311	0.0147639133742234	A	G	300	OID20674	O15444	CCL25
O15455	4.4616968795631255e-06	34.16932109060727	7.446523131048456	9.87319438273022e-05	A	G	300	OID20612	O15455	TLR3
O15467	0.0005350919403221	19.842204959546027	5.730525828816523	0.0055229807691902	A	G	300	OID20334	O15467	CCL16
O15496	1.8981370388833683e-06	-36.439585249440654	7.64898353280854	4.582196934362248e-05	A	G	300	OID21002	O15496	PLA2G10
O43155	0.5694936707132383	-7.29975310644539	12.833662214488175	0.7722799499319262	A	G	300	OID20946	O43155	FLRT2
O43184	0.4724582478133492	5.810145428687989	8.086661280278907	0.7059082055564159	A	G	300	OID30491	O43184	ADAM12
O43186	0.3018701640877936	-3.2212294963083785	3.1200427772258865	0.563113184315062	A	G	300	OID20070	O43186	CRX
O43240	0.8235978413654133	-2.4874256798961967	11.158382824071396	0.9187577257846292	A	G	300	OID21523	O43240	KLK10
O43247	0.0632927490909821	13.633307988069712	7.341065265028512	0.2282445927095787	A	G	300	OID31280	O43247	TEX33
O43278	0.7131604181588036	4.653693332777583	12.65915388271645	0.8540965893570585	A	G	300	OID21109	O43278	SPINT1
O43280	0.0234547110736642	11.305485596874034	4.989301306571545	0.1193575105334026	A	G	300	OID30388	O43280	TREH
O43290	0.6909450222430003	-0.9937483570877644	2.499537309867259	0.8430076248501445	A	G	300	OID30113	O43290	SART1
O43291	0.3177073591708822	5.314474076636775	5.318833945908355	0.5802647940121508	A	G	300	OID20720	O43291	SPINT2
O43312	0.1092877809725431	4.41832908622629	2.75903706698098	0.3211565475058334	A	G	300	OID31492	O43312	MTSS1
O43320	0.1684127827398346	9.259320002986858	6.722699156063849	0.4147839278103346	A	G	300	OID30535	O43320	FGF16
O43396	0.7669882048867557	-1.8912755764939688	6.382614738726921	0.8855227456419815	A	G	300	OID30872	O43396	TXNL1
O43399	0.2923843502664442	3.149192497018091	2.9909548308214986	0.5576186604422274	A	G	300	OID30609	O43399	TPD52L2
O43405	0.001538548921098	25.792386268408524	8.143303294123081	0.0134152280553052	A	G	300	OID30305	O43405	COCH
O43422	0.8301677832169718	-0.7745027691929404	3.610964722261409	0.9202732807501992	A	G	300	OID31238	O43422	THAP12
O43423	0.7875758128186219	-1.8411212287494585	6.83263585328455	0.8993389168268938	A	G	300	OID30203	O43423	ANP32C
O43432	0.0913837568188862	4.22591404416433	2.5032913193991457	0.2879195870980326	A	G	300	OID31022	O43432	EIF4G3
O43464	0.0390886055631928	9.78264882861778	4.7413716383031	0.1674161537391293	A	G	300	OID21471	O43464	HTRA2
O43474	0.952051618428705	0.1944949887297579	3.234542601064301	0.974060517488703	A	G	300	OID30808	O43474	KLF4
O43493	0.9425838032922984	-0.961063684777684	13.343890506423955	0.9708700436914764	A	G	300	OID30691	O43493	TGOLN2
O43504	0.4795107275653602	-4.303325708904015	6.085968474078687	0.7109902716844756	A	G	300	OID31396	O43504	LAMTOR5
O43505	0.394139905972094	12.847275463955665	15.076596443303067	0.6410259829312286	A	G	300	OID21127	O43505	B4GAT1
O43508	0.0956329337746596	-18.32114557626884	10.99441871170532	0.295945551680404	A	G	300	OID20624	O43508	TNFSF12
O43521-2	0.7411924634658653	-1.854037896185082	5.61362499006672	0.8698365551562044	A	G	300	OID20513	O43521-2	BCL2L11
O43524	0.3182088167753368	2.620391799447689	2.6252603844508244	0.5802647940121508	A	G	300	OID21271	O43524	FOXO3
O43557	0.1356405199847465	8.324516037708044	5.578598049941139	0.3644949023693142	A	G	300	OID20953	O43557	TNFSF14
O43561	0.5270119375945825	2.4233660817265363	3.830961241953213	0.7469198785607839	A	G	300	OID20640	O43561	LAT
O43570	0.5581591995983954	-6.393604468865735	10.918452368564775	0.7666402321757037	A	G	300	OID21344	O43570	CA12
O43583	0.7541693556612951	1.1812307358799696	3.772134455338217	0.878231340401284	A	G	300	OID30493	O43583	DENR
O43597	0.2035326864896985	3.506384142387864	2.757564634346824	0.4644679509659448	A	G	300	OID20475	O43597	SPRY2
O43598	0.0567901296919076	10.446114261766931	5.483747277608146	0.2145976310867556	A	G	300	OID20744	O43598	DNPH1
O43639	0.2296658139977864	3.363121799513556	2.79975472581729	0.4947729643533836	A	G	300	OID20683	O43639	NCK2
O43653	0.4560806479273528	1.8156312193067887	2.4360552646414035	0.6941903294553455	A	G	300	OID31493	O43653	PSCA
O43663	0.7139079992254075	2.721192315302062	7.42252782756657	0.8542913829321652	A	G	300	OID31345	O43663	PRC1
O43665	0.6568864065631246	1.870442126853041	4.210658816174065	0.8223083670548189	A	G	300	OID30999	O43665	RGS10
O43681	2.7569303250391455e-07	31.401647366778604	6.110044666087283	8.947770532710383e-06	A	G	300	OID30303	O43681	GET3
O43699	0.0270010569737922	27.888428440267766	12.610624713693497	0.1318897782950619	A	G	300	OID21394	O43699	SIGLEC6
O43707	0.2249262224151889	11.41145763919093	9.403502432897918	0.4888463509484871	A	G	300	OID20435	O43707	ACTN4
O43715	0.1232902206135997	6.721849287519025	4.361695756091383	0.3449528107397746	A	G	300	OID21403	O43715	TRIAP1
O43734	0.1577357146250847	9.47340998732689	6.70575650000528	0.3987324141081064	A	G	300	OID30054	O43734	TRAF3IP2
O43736	0.049572703965907	-11.652707744946188	5.934260427346621	0.1954141272394256	A	G	300	OID20504	O43736	ITM2A
O43739	0.5139571627988737	3.474829778537352	5.323872183710732	0.736302652143176	A	G	300	OID31208	O43739	CYTH3
O43752	0.1541275047809181	4.18214461578597	2.9346267456873454	0.3938814011067907	A	G	300	OID21219	O43752	STX6
O43768	0.6758966430349633	-1.96999245399803	4.7121223620399855	0.8326841393104715	A	G	300	OID31355	O43768	ENSA
O43776	0.4800422172582634	4.3011648821760335	6.090277219770895	0.7114172078190703	A	G	300	OID31035	O43776	NARS1
O43805	0.0292696310919977	9.477619563448568	4.347859285156358	0.1401583482290578	A	G	300	OID31453	O43805	SSNA1
O43827	1.8964761953145213e-08	53.1908576442534	9.462563407550102	9.71860871318196e-07	A	G	300	OID21412	O43827	ANGPTL7
O43854	0.9541513796711132	-0.4206644238458987	7.316617640959968	0.9747374186389162	A	G	300	OID20081	O43854	EDIL3
O43866	0.0886804387434065	16.392984987993195	9.629338852588168	0.2846544632631763	A	G	300	OID30775	O43866	CD5L
O43889	0.6334622818335921	2.818885856013254	5.911357031177596	0.8076574968292984	A	G	300	OID31188	O43889	CREB3
O43895	0.0558277169986616	9.719933461008749	5.082642153385182	0.2118630584430149	A	G	300	OID21508	O43895	XPNPEP2
O43896	0.029695208356397	17.324827803924737	7.968617457653188	0.1417304130737353	A	G	300	OID30163	O43896	KIF1C
O43903	0.0009399020858853	18.38885270064968	5.559030671080327	0.0089428468823158	A	G	300	OID31285	O43903	GAS2
O43915	0.2773037848257574	-11.173958014046423	10.285344342014705	0.5425347324019004	A	G	300	OID20662	O43915	VEGFD
O43927	1.810549414459659e-05	28.537235802265123	6.65660111415449	0.0003244548981372	A	G	300	OID21024	O43927	CXCL13
O60218	0.4580838278240556	2.8644592472542127	3.860427085038797	0.6957775691519723	A	G	300	OID30955	O60218	AKR1B10
O60220	0.1791114388045608	6.1688129154251765	4.591612611290593	0.4276931909127393	A	G	300	OID31143	O60220	TIMM8A
O60232	0.1365056720731128	4.347027462203957	2.919563722910899	0.365421590654529	A	G	300	OID31450	O60232	ZNRD2
O60234	0.9824797234928648	0.0820822134853718	3.7377759014414624	0.9911265551860396	A	G	300	OID30340	O60234	GMFG
O60235	0.4434113631911703	5.932489930171346	7.74026485046615	0.6838461414368577	A	G	300	OID31103	O60235	TMPRSS11D
O60237	0.0252100516801902	12.244962872502295	5.470973887560695	0.1254095901404364	A	G	300	OID31304	O60237	PPP1R12B
O60238	0.1261312855080001	6.172550646963112	4.035567107810967	0.3494598975254474	A	G	300	OID30525	O60238	BNIP3L
O60240	3.405906059532172e-06	49.36210011676437	10.627645821490416	7.772384062416777e-05	A	G	300	OID20835	O60240	PLIN1
O60242	0.4228397058436898	-10.251763390380496	12.790651638441256	0.6665487214082125	A	G	300	OID20974	O60242	ADGRB3
O60243	0.0001371473877925	36.52112732315119	9.57741051445819	0.0017647908358673	A	G	300	OID21441	O60243	HS6ST1
O60245	0.0852610763640901	18.601813873270324	10.809078762657224	0.2773358619816338	A	G	300	OID31456	O60245	PCDH7
O60259	0.7751996951310564	-2.7454399012471526	9.613552386564717	0.8920706347907357	A	G	300	OID21517	O60259	KLK8
O60279	0.4696423770500103	-8.795034638026534	12.163612776362635	0.7053086803923291	A	G	300	OID30650	O60279	SUSD5
O60437	0.0589125515181654	18.34973278995433	9.7147882458128	0.2183801560717781	A	G	300	OID30564	O60437	PPL
O60447	0.2309625795479549	4.005254887198066	3.343611170231413	0.4953264716451779	A	G	300	OID30519	O60447	EVI5
O60449	0.920342036791946	-1.0676510076828805	10.676202305323809	0.9594286543430672	A	G	300	OID20580	O60449	LY75
O60462	0.7329863491122007	-3.970654531390098	11.638832918509411	0.8682291669735355	A	G	300	OID21081	O60462	NRP2
O60469	0.0240600244170769	20.84341308907144	9.238407864371274	0.1214919281090884	A	G	300	OID30993	O60469	DSCAM
O60476	0.015792832826994	35.999247787815015	14.914745307731115	0.0881007478066734	A	G	300	OID30262	O60476	MAN1A2
O60496	0.1261922605316025	4.121118327543542	2.694789731532801	0.3494598975254474	A	G	300	OID20138	O60496	DOK2
O60500	0.2198023263174066	13.61794356652087	11.098080831393515	0.484195018984272	A	G	300	OID30540	O60500	NPHS1
O60502	0.8049602046922797	0.9644124025410384	3.905565674039825	0.9084265022337276	A	G	300	OID31465	O60502	OGA
O60542	0.2979310755160104	4.505547309882012	4.328592853371316	0.5610931038872883	A	G	300	OID20511	O60542	PSPN
O60575	0.6464805126858226	-2.694336493187381	5.874404224855897	0.8146546926468023	A	G	300	OID20509	O60575	SPINK4
O60603	0.681275533084717	-4.750865763668395	11.56707504398689	0.8355853832389831	A	G	300	OID31290	O60603	TLR2
O60609	0.5330594168178497	-8.129958076857983	13.042519841440004	0.7502081639069722	A	G	300	OID20933	O60609	GFRA3
O60635	0.711864070157654	2.68476041549253	7.2688051760357	0.8540965893570585	A	G	300	OID20078	O60635	TSPAN1
O60662	0.0019538194437217	-20.908812901852617	6.750955035971251	0.0163997315951467	A	G	300	OID30986	O60662	KLHL41
O60664	0.8641084660493001	1.08110161667046	6.316814853724119	0.94076065200522	A	G	300	OID20143	O60664	PLIN3
O60701	0.2625674056936481	-5.752221871736353	5.134337637411773	0.5271376060232293	A	G	300	OID30081	O60701	UGDH
